model_type,learning_rate,hidden_size,batch_size,acc,pred_time
gated_cnn,0.001,128,64,0.8587069864442127,0.2721483998466283
gated_cnn,0.001,128,64,0.8773722627737226,0.2782079998869449
gated_cnn,0.001,128,128,0.8444212721584984,0.2092927999328822
gated_cnn,0.001,128,128,0.8743482794577685,0.20519339991733432
gated_cnn,0.0001,128,64,0.7179353493222106,0.2728750999085605
gated_cnn,0.0001,128,64,0.7960375391032325,0.2983761001378298
gated_cnn,0.0001,128,128,0.6854014598540146,0.20843220013193786
gated_cnn,0.0001,128,128,0.7453597497393117,0.21258580009453
bert,0.001,128,64,0.8586027111574557,6.733306800015271
bert,0.001,128,64,0.862043795620438,6.99229700001888
bert,0.001,128,128,0.8652763295099062,6.975654499838129
bert,0.001,128,128,0.8776850886339937,7.3058963001240045
bert,0.0001,128,64,0.8636079249217935,7.269459099974483
bert,0.0001,128,64,0.8821689259645464,7.469539999961853
bert,0.0001,128,128,0.8528675703858185,6.711101200198755
bert,0.0001,128,128,0.8839416058394161,7.509037900017574
lstm,0.001,128,64,0.8632950990615225,1.0161616001278162
lstm,0.001,128,64,0.8603753910323253,0.9179452999960631
lstm,0.001,128,128,0.8473409801876955,0.6869941998738796
lstm,0.001,128,128,0.8564129301355579,0.727402999997139
lstm,0.0001,128,64,0.6664233576642336,1.0005963000003248
lstm,0.0001,128,64,0.6920750782064651,0.9508434000890702
lstm,0.0001,128,128,0.6663190823774765,0.6799027000088245
lstm,0.0001,128,128,0.6663190823774765,0.7213912999723107
